State,"Unauthorized Immigrant Population, 2014","Unauthorized Immigrant Share of Labor Force, 2014","Unauthorized Share of Immigrant Population, 2014","Unauthorized Immigrant Share of Labor Force, 2014","Share of K-12 Students with Unauthorized Immigrant Parent(s), 2014","Mexicans as a Share of Unauthorized Immigrants, 2014","Change in Unauthorized Immigrant Population, 2009-2014"
U.S. Total,"11,100,000",3.50%,26%,5.00%,7.30%,52%,n.s.
Alabama,"65,000",1.30%,39%,1.80%,2.80%,52%,"-15,000"
Alaska,"10,000",1.30%,17%,1.90%,2.40%,13%,n.s.
Arizona,"325,000",4.90%,35%,6.60%,12.20%,81%,n.s.
Arkansas,"70,000",2.40%,48%,3.50%,6.00%,70%,n.s.
California,"2,350,000",6.00%,22%,9.00%,12.30%,71%,"-190,000"
Colorado,"200,000",3.80%,37%,4.90%,10.20%,72%,n.s.
Connecticut,"120,000",3.40%,24%,4.70%,5.50%,18%,n.s.
Delaware,"25,000",2.70%,31%,4.00%,4.20%,43%,n.s.
District of Columbia,"25,000",3.90%,26%,4.90%,6.60%,3%,n.s.
Florida,"850,000",4.20%,20%,6.20%,7.60%,19%,n.s.
Georgia,"375,000",3.60%,36%,5.20%,8.40%,56%,"-55,000"
Hawaii,"45,000",3.20%,18%,4.60%,5.20%,3%,n.s.
Idaho,"45,000",2.70%,42%,4.00%,6.80%,87%,n.s.
Illinois,"450,000",3.50%,24%,5.00%,7.20%,71%,"-55,000"
Indiana,"110,000",1.60%,32%,2.20%,3.50%,63%,n.s.
Iowa,"40,000",1.30%,26%,1.80%,3.20%,62%,n.s.
Kansas,"75,000",2.50%,35%,3.40%,6.70%,74%,"-20,000"
Kentucky,"50,000",1.10%,30%,1.70%,2.10%,50%,n.s.
Louisiana,"70,000",1.50%,36%,2.20%,2.20%,39%,"15,000"
Maine,"<5,000",0.30%,8%,0.40%,0.40%,N.A.,n.s.
Maryland,"250,000",4.20%,27%,5.90%,7.50%,11%,n.s.
Massachusetts,"210,000",3.10%,19%,4.00%,4.60%,2%,"35,000"
Michigan,"130,000",1.30%,20%,1.70%,2.30%,35%,n.s.
Minnesota,"100,000",1.90%,23%,2.70%,3.80%,45%,n.s.
Mississippi,"25,000",0.80%,37%,1.30%,1.30%,69%,n.s.
Missouri,"55,000",0.90%,24%,1.30%,1.80%,39%,n.s.
Montana,"<5,000",0.30%,14%,0.40%,0.10%,N.A.,n.s.
Nebraska,"45,000",2.50%,38%,3.20%,6.70%,61%,n.s.
Nevada,"210,000",7.20%,36%,10.40%,17.60%,70%,"-30,000"
New Hampshire,"10,000",0.80%,14%,1.00%,1.30%,2%,n.s.
New Jersey,"500,000",5.40%,24%,7.90%,7.60%,24%,"45,000"
New Mexico,"85,000",4.00%,37%,5.60%,10.10%,91%,n.s.
New York,"775,000",3.90%,17%,5.90%,6.00%,25%,n.s.
North Carolina,"350,000",3.40%,43%,5.00%,8.70%,60%,n.s.
North Dakota,"<5,000",0.50%,13%,0.70%,0.70%,N.A.,n.s.
Ohio,"95,000",0.80%,19%,1.10%,1.50%,28%,n.s.
Oklahoma,"95,000",2.40%,41%,3.40%,6.30%,71%,n.s.
Oregon,"130,000",3.20%,32%,4.80%,8.60%,71%,n.s.
Pennsylvania,"180,000",1.40%,22%,2.00%,2.60%,20%,"50,000"
Rhode Island,"30,000",2.90%,21%,4.00%,6.40%,6%,n.s.
South Carolina,"85,000",1.80%,37%,2.60%,3.90%,64%,"-15,000"
South Dakota,"5,000",0.60%,21%,0.80%,0.60%,22%,n.s.
Tennessee,"120,000",1.90%,37%,2.80%,3.90%,49%,n.s.
Texas,"1,650,000",6.10%,35%,8.50%,13.40%,71%,n.s.
Utah,"100,000",3.50%,39%,5.40%,7.40%,72%,n.s.
Vermont,"<5,000",0.30%,8%,0.30%,0.00%,N.A.,n.s.
Virginia,"300,000",3.50%,28%,5.00%,6.50%,14%,"35,000"
Washington,"250,000",3.60%,27%,5.00%,8.80%,52%,"40,000"
West Virginia,"<5,000",0.20%,15%,0.20%,0.30%,N.A.,n.s.
Wisconsin,"80,000",1.30%,27%,1.90%,3.20%,74%,n.s.
Wyoming,"5,000",1.00%,27%,1.40%,2.30%,58%,n.s.
